latitude,longitude,marker,Acc Y (g),Temp Data,HRot Count,Speed,Samples,Heading GPS (dg),Speed GPS,Accuracy GPS,Altitude GPS,RSSI dBm,HH:mm:ss,SSS
,,4,-1.01,0,0,-2,0,,,,,,08:52:46,337
,,3,-0.754,0,0,-1,1,,,,,,,
,,3,-0.566,0,0,0,2,,,,,,,
,,3,-0.832,0,0,0,3,,,,,,,
,,3,-0.92,0,0,0,4,,,,,,,
,,3,-0.508,0,0,0,5,,,,,,,
,,3,-0.41,0,0,0,6,,,,,,,
,,3,-0.436,0,0,0,7,,,,,,,
,,3,-0.524,0,0,0,8,,,,,,,
,,3,-0.294,0,0,0,9,,,,,,,
,,3,-0.209,0,0,0,10,,,,,-68,08:52:46,518
,,3,-0.252,0,0,0,11,,,,,,,
,,3,-0.207,0,0,0,12,,,,,,,
,,3,-0.096,0,0,0,13,,,,,,,
,,3,-0.085,0,0,0,14,,,,,,,
,,3,0.137,0,0,0,15,,,,,,,
,,3,0.227,0,0,0,16,,,,,,,
,,3,0.063,0,0,0,17,,,,,,,
,,3,0.23,0,0,0,18,,,,,,,
,,3,0.543,0,0,0,19,,,,,,,
,,3,0.427,0,0,0,20,,,,,-68,08:52:46,754
,,3,0.275,0,0,0,21,,,,,,,
,,3,0.623,0,0,0,22,,,,,,,
,,3,0.886,0,0,0,23,,,,,,,
,,3,0.686,0,0,0,24,,,,,,,
,,3,0.531,0,0,0,25,,,,,,,
,,3,1.014,0,1,0,26,,,,,,,
,,3,0.934,0,1,0,27,,,,,,,
,,3,0.596,0,1,0,28,,,,,,,
,,3,0.854,0,1,0,29,,,,,,,
,,3,1.326,0,1,0,30,,,,,-68,08:52:46,934
,,3,0.755,0,1,0,31,,,,,,,
,,3,0.768,0,1,0,32,,,,,,,
,,3,1.206,0,1,0,33,,,,,,,
,,3,1.118,0,1,0,34,,,,,,,
,,3,0.623,0,1,0,35,,,,,,,
,,3,0.784,0,1,0,36,,,,,,,
,,3,1.131,0,1,0,37,,,,,,,
,,3,1.173,0,1,0,38,,,,,,,
,,3,0.715,0,1,0,39,,,,,,,
,,3,0.963,0,1,0,40,,,,,-68,08:52:47,114
,,3,1.137,0,1,0,41,,,,,,,
,,3,0.723,0,1,0,42,,,,,,,
,,3,0.823,0,1,0,43,,,,,,,
,,3,1.005,0,1,0,44,,,,,,,
,,3,0.684,0,1,0,45,,,,,,,
,,3,0.5,0,1,0,46,,,,,,,
,,3,0.651,0,1,0,47,,,,,,,
,,3,0.645,0,1,0,48,,,,,,,
,,3,0.534,0,1,0,49,,,,,,,
