latitude,longitude,marker,Acc Y (g),Temp Data,HRot Count,Speed,Samples,Heading GPS (dg),Speed GPS,Accuracy GPS,Altitude GPS,RSSI dBm,HH:mm:ss,SSS
52.3546811,4.8063166,4,-0.187,-191,0,-2,0,189,3,18,45,,09:53:19,940
,,3,-0.186,-190,0,-1,1,,,,,,,
,,3,-0.188,-192,0,0,2,,,,,,,
,,3,-0.187,-191,0,0,3,,,,,,,
,,3,-0.18,-184,0,0,4,,,,,,,
,,3,-0.178,-182,0,0,5,,,,,,,
,,3,-0.176,-180,0,0,6,,,,,,,
,,3,-0.18,-184,0,0,7,,,,,,,
,,3,-0.182,-186,0,0,8,,,,,,,
,,3,-0.182,-186,0,0,9,,,,,,,
,,3,-0.177,-181,0,0,10,,,,,,09:53:20,131
,,3,-0.178,-182,0,0,11,,,,,,,
,,3,-0.179,-183,0,0,12,,,,,,,
,,3,-0.182,-186,0,0,13,,,,,,,
,,3,-0.184,-188,0,0,14,,,,,,,
,,3,-0.184,-188,0,0,15,,,,,,,
,,3,-0.185,-189,0,0,16,,,,,,,
,,3,-0.187,-191,0,0,17,,,,,,,
,,3,-0.186,-190,0,0,18,,,,,,,
,,3,-0.186,-190,0,0,19,,,,,,,
,,3,-0.184,-188,0,0,20,,,,,,09:53:20,325
,,3,-0.184,-188,0,0,21,,,,,,,
,,3,-0.179,-183,0,0,22,,,,,,,
,,3,-0.178,-182,0,0,23,,,,,,,
,,3,-0.183,-187,0,0,24,,,,,,,
,,3,-0.188,-192,0,0,25,,,,,,,
,,3,-0.188,-192,0,0,26,,,,,,,
,,3,-0.187,-191,0,0,27,,,,,,,
,,3,-0.188,-192,0,0,28,,,,,,,
,,3,-0.183,-187,0,0,29,,,,,,,
,,3,-0.177,-181,0,0,30,,,,,,09:53:20,509
,,3,-0.179,-183,0,0,31,,,,,,,
,,3,-0.179,-183,0,0,32,,,,,,,
,,3,-0.183,-187,0,0,33,,,,,,,
,,3,-0.183,-187,0,0,34,,,,,,,
,,3,-0.181,-185,0,0,35,,,,,,,
,,3,-0.181,-185,0,0,36,,,,,,,
,,3,-0.183,-187,0,0,37,,,,,,,
,,3,-0.184,-188,0,0,38,,,,,,,
,,3,-0.183,-187,0,0,39,,,,,,,
52.3547412,4.8063456,3,-0.182,-186,0,0,40,88,1,17,45,-63,09:53:20,688
,,3,-0.18,-184,0,0,41,,,,,,,
,,3,-0.183,-187,0,0,42,,,,,,,
,,3,-0.186,-190,0,0,43,,,,,,,
,,3,-0.186,-190,0,0,44,,,,,,,
,,3,-0.183,-187,0,0,45,,,,,,,
,,3,-0.181,-185,0,0,46,,,,,,,
,,3,-0.179,-183,0,0,47,,,,,,,
,,3,-0.18,-184,0,0,48,,,,,,,
,,3,-0.179,-183,0,0,49,,,,,,,
,,3,-0.183,-187,0,0,50,,,,,-63,09:53:20,887
,,3,-0.184,-188,0,0,51,,,,,,,
,,3,-0.185,-189,0,0,52,,,,,,,
,,3,-0.187,-191,0,0,53,,,,,,,
,,3,-0.181,-185,0,0,54,,,,,,,
,,3,-0.177,-181,0,0,55,,,,,,,
,,3,-0.175,-179,0,0,56,,,,,,,
,,3,-0.176,-180,0,0,57,,,,,,,
,,3,-0.182,-186,0,0,58,,,,,,,
,,3,-0.182,-186,0,0,59,,,,,,,
,,3,-0.179,-183,0,0,60,,,,,-63,09:53:21,089
,,3,-0.176,-180,0,0,61,,,,,,,
,,3,-0.173,-177,0,0,62,,,,,,,
,,3,-0.17,-174,0,0,63,,,,,,,
,,3,-0.17,-174,0,0,64,,,,,,,
,,3,-0.173,-177,0,0,65,,,,,,,
,,3,-0.174,-178,0,0,66,,,,,,,
,,3,-0.177,-181,0,0,67,,,,,,,
,,3,-0.178,-182,0,0,68,,,,,,,
,,3,-0.183,-187,0,0,69,,,,,,,
,,3,-0.185,-189,0,0,70,,,,,-63,09:53:21,284
,,3,-0.187,-191,0,0,71,,,,,,,
,,3,-0.181,-185,0,0,72,,,,,,,
,,3,-0.18,-184,0,0,73,,,,,,,
,,3,-0.181,-185,0,0,74,,,,,,,
,,3,-0.183,-187,0,0,75,,,,,,,
,,3,-0.183,-187,0,0,76,,,,,,,
,,3,-0.182,-186,0,0,77,,,,,,,
,,3,-0.185,-189,0,0,78,,,,,,,
,,3,-0.188,-193,0,0,79,,,,,,,
,,3,-0.188,-192,0,0,80,,,,,-63,09:53:21,479
,,3,-0.186,-190,0,0,81,,,,,,,
,,3,-0.181,-185,0,0,82,,,,,,,
,,3,-0.181,-185,0,0,83,,,,,,,
,,3,-0.18,-184,0,0,84,,,,,,,
,,3,-0.183,-187,0,0,85,,,,,,,
,,3,-0.186,-190,0,0,86,,,,,,,
