latitude,longitude,marker,Acc Y (g),Temp Data,HRot Count,Speed,Samples,Heading GPS (dg),Speed GPS,Accuracy GPS,Altitude GPS,RSSI dBm,HH:mm:ss,SSS
52.3423372,4.906744,4,0.716,0,0,-2,0,90,0,13,46,-66,22:21:04,690
,,3,0.712,0,0,-1,1,,,,,,,
,,3,0.772,0,0,0,2,,,,,,,
,,3,0.774,0,0,0,3,,,,,,,
,,3,0.746,0,0,0,4,,,,,,,
,,3,0.751,0,0,0,5,,,,,,,
,,3,0.843,0,0,0,6,,,,,,,
,,3,0.807,0,0,0,7,,,,,,,
,,3,0.846,0,0,0,8,,,,,,,
,,3,0.837,0,0,0,9,,,,,,,
,,3,0.848,0,0,0,10,,,,,-66,22:21:04,885
,,3,0.82,0,0,0,11,,,,,,,
,,3,0.875,0,0,0,12,,,,,,,
,,3,0.827,0,0,0,13,,,,,,,
,,3,0.9,0,0,0,14,,,,,,,
,,3,0.933,0,0,0,15,,,,,,,
,,3,0.985,0,0,0,16,,,,,,,
,,3,0.886,0,0,0,17,,,,,,,
,,3,0.937,0,0,0,18,,,,,,,
,,3,1.104,0,0,0,19,,,,,,,
,,3,0.97,0,0,0,20,,,,,-66,22:21:05,118
,,3,0.801,0,0,0,21,,,,,,,
,,3,0.879,0,0,0,22,,,,,,,
,,3,1.079,0,0,0,23,,,,,,,
,,3,0.82,0,0,0,24,,,,,,,
,,3,0.946,0,0,0,25,,,,,,,
,,3,1.031,0,0,0,26,,,,,,,
,,3,0.941,0,0,0,27,,,,,,,
,,3,0.993,0,0,0,28,,,,,,,
,,3,0.921,0,0,0,29,,,,,,,
52.3423446,4.9067295,3,0.898,0,0,0,30,297,0,12,46,-66,22:21:05,283
,,3,1.119,0,0,0,31,,,,,,,
,,3,1.037,0,0,0,32,,,,,,,
,,3,0.801,0,0,0,33,,,,,,,
,,3,0.93,0,0,0,34,,,,,,,
,,3,1.353,0,0,0,35,,,,,,,
,,3,1.24,0,0,0,36,,,,,,,
,,3,0.948,0,0,0,37,,,,,,,
,,3,0.754,0,0,0,38,,,,,,,
,,3,0.878,0,0,0,39,,,,,,,
,,3,1.082,0,0,0,40,,,,,-66,22:21:05,487
,,3,0.872,0,0,0,41,,,,,,,
,,3,0.583,0,0,0,42,,,,,,,
,,3,0.858,0,0,0,43,,,,,,,
,,3,0.981,0,0,0,44,,,,,,,
,,3,0.817,0,0,0,45,,,,,,,
,,3,0.815,0,0,0,46,,,,,,,
,,3,0.866,0,0,0,47,,,,,,,
,,3,0.74,0,0,0,48,,,,,,,
,,3,0.972,0,0,0,49,,,,,,,
,,3,0.854,0,0,0,50,,,,,-66,22:21:05,694
,,3,0.726,0,0,0,51,,,,,,,
,,3,0.797,0,0,0,52,,,,,,,
,,3,0.817,0,0,0,53,,,,,,,
,,3,0.64,0,0,0,54,,,,,,,
,,3,0.752,0,0,0,55,,,,,,,
,,3,0.768,0,0,0,56,,,,,,,
,,3,0.604,0,0,0,57,,,,,,,
,,3,0.574,0,0,0,58,,,,,,,
,,3,0.671,0,0,0,59,,,,,,,
,,3,0.575,0,0,0,60,,,,,-66,22:21:05,876
,,3,0.517,0,0,0,61,,,,,,,
,,3,0.541,0,0,0,62,,,,,,,
,,3,0.504,0,0,0,63,,,,,,,
,,3,0.482,0,0,0,64,,,,,,,
,,3,0.372,0,0,0,65,,,,,,,
,,3,0.407,0,0,0,66,,,,,,,
,,3,0.371,0,0,0,67,,,,,,,
,,3,0.954,0,0,0,68,,,,,,,
,,3,0.176,0,0,0,69,,,,,,,
,,3,0.438,0,0,0,70,,,,,-66,22:21:06,096
,,3,0.414,0,0,0,71,,,,,,,
,,3,-0.384,0,0,0,72,,,,,,,
,,3,0.587,0,0,0,73,,,,,,,
,,3,0.204,0,0,0,74,,,,,,,
,,3,0.272,0,0,0,75,,,,,,,
,,3,0.059,0,0,0,76,,,,,,,
,,3,0.043,0,0,0,77,,,,,,,
,,3,-0.157,0,0,0,78,,,,,,,
,,3,-0.293,0,0,0,79,,,,,,,
,,3,0.737,0,0,0,80,,,,,-66,22:21:06,295
,,3,0.273,0,0,0,81,,,,,,,
,,3,-0.452,0,0,0,82,,,,,,,
,,3,-0.702,0,0,0,83,,,,,,,
,,3,-0.354,0,0,0,84,,,,,,,
,,3,0.223,0,0,0,85,,,,,,,
,,3,0.02,0,0,0,86,,,,,,,
,,3,-0.32,0,0,0,87,,,,,,,
,,3,-0.509,0,0,0,88,,,,,,,
,,3,-0.241,0,0,0,89,,,,,,,
52.3423446,4.906725,3,-0.31,0,0,0,90,259,0,11,46,-78,22:21:06,748
,,3,-0.223,0,0,0,91,,,,,,,
,,3,-0.411,0,0,0,92,,,,,,,
,,3,-0.479,0,0,0,93,,,,,,,
,,3,-0.305,0,0,0,94,,,,,,,
,,3,-0.174,0,0,0,95,,,,,,,
,,3,-0.007,0,0,0,96,,,,,,,
,,3,-0.312,0,0,0,97,,,,,,,
,,3,-0.328,0,0,0,98,,,,,,,
,,3,-0.395,0,0,0,99,,,,,,,
,,3,-0.602,0,0,0,100,,,,,,22:21:06,777
,,3,-0.506,0,0,0,101,,,,,,,
,,3,-0.381,0,0,0,102,,,,,,,
,,3,-0.391,0,0,0,103,,,,,,,
,,3,-0.511,0,0,0,104,,,,,,,
,,3,-0.519,0,0,0,105,,,,,,,
,,3,-0.524,0,0,0,106,,,,,,,
,,3,-0.521,0,0,0,107,,,,,,,
,,3,-0.518,0,0,0,108,,,,,,,
,,3,-0.606,0,0,0,109,,,,,,,
,,3,-0.639,0,0,0,110,,,,,,22:21:06,977
,,3,-0.55,0,0,0,111,,,,,,,
,,3,-0.549,0,0,0,112,,,,,,,
,,3,-0.635,0,0,0,113,,,,,,,
,,3,-0.678,0,0,0,114,,,,,,,
,,3,-0.657,0,0,0,115,,,,,,,
,,3,-0.676,0,0,0,116,,,,,,,
,,3,-0.704,0,0,0,117,,,,,,,
,,3,-0.646,0,0,0,118,,,,,,,
,,3,-0.653,0,0,0,119,,,,,,,
,,3,-0.744,0,0,0,120,,,,,,22:21:07,219
,,3,-0.872,0,1,0,121,,,,,,,
,,3,-0.627,0,1,0,122,,,,,,,
,,3,-0.641,0,1,0,123,,,,,,,
,,3,-0.862,0,1,0,124,,,,,,,
,,3,-0.831,0,1,0,125,,,,,,,
,,3,-0.795,0,1,0,126,,,,,,,
,,3,-0.771,0,1,0,127,,,,,,,
,,3,-0.732,0,1,0,128,,,,,,,
,,3,-0.728,0,1,0,129,,,,,,,
,,3,-0.82,0,1,0,130,,,,,,22:21:07,451
,,3,-0.804,0,1,0,131,,,,,,,
,,3,-0.781,0,1,0,132,,,,,,,
,,3,-0.769,0,1,0,133,,,,,,,
,,3,-0.74,0,1,0,134,,,,,,,
,,3,-0.737,0,1,0,135,,,,,,,
,,3,-0.811,0,1,0,136,,,,,,,
,,3,-0.724,0,1,0,137,,,,,,,
,,3,-0.763,0,1,0,138,,,,,,,
,,3,-0.826,0,1,0,139,,,,,,,
52.3423429,4.9067241,3,-0.762,0,1,0,140,274,0,10,46,,22:21:07,545
,,3,-1.333,0,1,0,141,,,,,,,
,,3,-0.834,0,1,0,142,,,,,,,
,,3,-0.153,0,1,0,143,,,,,,,
,,3,-0.361,0,1,0,144,,,,,,,
,,3,-0.738,0,1,0,145,,,,,,,
,,3,-1.333,0,1,0,146,,,,,,,
,,3,-0.758,0,1,0,147,,,,,,,
,,3,-0.41,0,1,0,148,,,,,,,
,,3,-0.298,0,1,0,149,,,,,,,
,,3,-0.762,0,1,0,150,,,,,,22:21:07,721
,,3,-0.82,0,1,0,151,,,,,,,
,,3,-0.769,0,1,0,152,,,,,,,
,,3,-0.382,0,1,0,153,,,,,,,
,,3,-0.298,0,1,0,154,,,,,,,
,,3,-0.656,0,1,0,155,,,,,,,
,,3,-0.72,0,1,0,156,,,,,,,
,,3,-0.445,0,1,0,157,,,,,,,
,,3,-0.442,0,1,0,158,,,,,,,
,,3,-0.582,0,1,0,159,,,,,,,
,,3,-0.626,0,1,0,160,,,,,,22:21:07,904
,,3,-0.547,0,1,0,161,,,,,,,
,,3,-0.465,0,1,0,162,,,,,,,
,,3,-0.521,0,1,0,163,,,,,,,
,,3,-0.58,0,1,0,164,,,,,,,
,,3,-0.584,0,1,0,165,,,,,,,
,,3,-0.512,0,1,0,166,,,,,,,
,,3,-0.622,0,1,0,167,,,,,,,
,,3,-0.641,0,1,0,168,,,,,,,
,,3,-0.532,0,1,0,169,,,,,,,
,,3,-0.71,0,1,0,170,,,,,-81,22:21:08,097
,,3,-0.831,0,1,0,171,,,,,,,
,,3,-0.728,0,1,0,172,,,,,,,
,,3,-0.595,0,1,0,173,,,,,,,
,,3,-0.868,0,1,0,174,,,,,,,
,,3,-0.886,0,1,0,175,,,,,,,
,,3,-0.785,0,1,0,176,,,,,,,
,,3,-0.704,0,1,0,177,,,,,,,
,,3,-0.856,0,1,0,178,,,,,,,
,,3,-0.688,0,1,0,179,,,,,,,
,,3,-0.914,0,1,0,180,,,,,-81,22:21:08,292
,,3,-0.815,0,1,0,181,,,,,,,
,,3,-0.89,0,1,0,182,,,,,,,
,,3,-0.834,0,1,0,183,,,,,,,
,,3,-0.906,0,1,0,184,,,,,,,
,,3,-1.044,0,1,0,185,,,,,,,
,,3,-0.964,0,1,0,186,,,,,,,
,,3,-0.883,0,1,0,187,,,,,,,
,,3,-0.962,0,1,0,188,,,,,,,
,,3,-0.964,0,1,0,189,,,,,,,
,,3,-0.72,0,1,0,190,,,,,-81,22:21:08,478
,,3,-0.678,0,1,0,191,,,,,,,
,,3,-0.896,0,1,0,192,,,,,,,
,,3,-0.975,0,1,0,193,,,,,,,
,,3,-0.83,0,1,0,194,,,,,,,
,,3,-0.862,0,1,0,195,,,,,,,
,,3,-0.955,0,1,0,196,,,,,,,
,,3,-1.087,0,1,0,197,,,,,,,
,,3,-1.003,0,1,0,198,,,,,,,
,,3,-0.862,0,1,0,199,,,,,,,
,,3,-0.762,0,1,0,200,,,,,-81,22:21:08,701
,,3,-0.871,0,1,0,201,,,,,,,
,,3,-0.817,0,1,0,202,,,,,,,
,,3,-0.91,0,1,0,203,,,,,,,
,,3,-0.94,0,1,0,204,,,,,,,
,,3,-0.871,0,1,0,205,,,,,,,
,,3,-0.913,0,1,0,206,,,,,,,
,,3,-0.963,0,1,0,207,,,,,,,
,,3,-0.885,0,1,0,208,,,,,,,
,,3,-1.09,0,1,0,209,,,,,,,
52.3423419,4.9067245,3,-1.173,0,1,0,210,87,0,10,46,-81,22:21:08,917
,,3,-0.688,0,1,0,211,,,,,,,
,,3,-0.97,0,1,0,212,,,,,,,
,,3,-1.053,0,1,0,213,,,,,,,
,,3,-1.174,0,1,0,214,,,,,,,
,,3,-0.644,0,1,0,215,,,,,,,
,,3,-1.234,0,1,0,216,,,,,,,
,,3,-1.159,0,1,0,217,,,,,,,
,,3,-1.113,0,1,0,218,,,,,,,
,,3,-0.854,0,1,0,219,,,,,,,
,,3,-1.167,0,1,0,220,,,,,-81,22:21:09,075
,,3,-1.04,0,1,0,221,,,,,,,
,,3,-0.996,0,1,0,222,,,,,,,
,,3,-1.118,0,1,0,223,,,,,,,
,,3,-1.014,0,1,0,224,,,,,,,
,,3,-1.055,0,1,0,225,,,,,,,
,,3,-0.966,0,1,0,226,,,,,,,
,,3,-0.909,0,1,0,227,,,,,,,
,,3,-1.03,0,1,0,228,,,,,,,
,,3,-1.135,0,1,0,229,,,,,,,
,,3,-0.827,0,1,0,230,,,,,-81,22:21:09,348
,,3,-0.935,0,1,0,231,,,,,,,
,,3,-1.036,0,1,0,232,,,,,,,
,,3,-0.961,0,1,0,233,,,,,,,
,,3,-1.087,0,1,0,234,,,,,,,
,,3,-1.083,0,1,0,235,,,,,,,
,,3,-0.678,0,1,0,236,,,,,,,
,,3,-0.944,0,1,0,237,,,,,,,
,,3,-0.964,0,1,0,238,,,,,,,
,,3,-1.177,0,1,0,239,,,,,,,
,,3,-0.76,0,1,0,240,,,,,-81,22:21:09,481
,,3,-0.575,0,1,0,241,,,,,,,
,,3,-0.915,0,1,0,242,,,,,,,
,,3,-0.964,0,1,0,243,,,,,,,
,,3,-1.069,0,1,0,244,,,,,,,
,,3,-0.462,0,1,0,245,,,,,,,
,,3,-0.471,0,1,0,246,,,,,,,
,,3,-0.9,0,1,0,247,,,,,,,
,,3,-0.251,0,1,0,248,,,,,,,
,,3,-0.361,0,1,0,249,,,,,,,
,,3,-0.235,0,1,0,250,,,,,-81,22:21:09,690
,,3,-0.283,0,1,0,251,,,,,,,
,,3,-0.354,0,1,0,252,,,,,,,
,,3,-0.505,0,1,0,253,,,,,,,
,,3,-0.306,0,1,0,254,,,,,,,
,,3,-0.422,0,1,0,255,,,,,,,
,,3,-1.235,0,1,0,256,,,,,,,
,,3,-0.615,0,1,0,257,,,,,,,
,,3,-0.021,0,1,0,258,,,,,,,
,,3,-0.09,0,1,0,259,,,,,,,
52.3423397,4.9067262,3,-0.346,0,1,0,260,90,0,10,46,-77,22:21:09,932
,,3,-0.104,0,1,0,261,,,,,,,
,,3,0.195,0,1,0,262,,,,,,,
,,3,0.036,0,1,0,263,,,,,,,
,,3,-0.053,0,1,0,264,,,,,,,
,,3,0.147,0,1,0,265,,,,,,,
,,3,0.703,0,1,0,266,,,,,,,
,,3,0.43,0,1,0,267,,,,,,,
,,3,0.496,0,1,0,268,,,,,,,
,,3,0.463,0,1,0,269,,,,,,,
,,3,0.563,0,1,0,270,,,,,-77,22:21:10,084
,,3,0.701,0,1,0,271,,,,,,,
,,3,0.767,0,1,0,272,,,,,,,
,,3,0.928,0,1,0,273,,,,,,,
,,3,1.117,0,2,0,274,,,,,,,
,,3,0.775,0,2,0,275,,,,,,,
,,3,0.753,0,2,0,276,,,,,,,
,,3,1.672,0,2,0,277,,,,,,,
,,3,1.067,0,2,0,278,,,,,,,
,,3,0.544,0,2,0,279,,,,,,,
,,3,0.866,0,2,0,280,,,,,-77,22:21:10,275
,,3,0.952,0,2,0,281,,,,,,,
,,3,1.069,0,2,0,282,,,,,,,
,,3,0.583,0,2,0,283,,,,,,,
,,3,0.413,0,2,0,284,,,,,,,
,,3,1.116,0,2,0,285,,,,,,,
,,3,0.815,0,2,0,286,,,,,,,
,,3,0.806,0,2,0,287,,,,,,,
,,3,0.279,0,2,0,288,,,,,,,
,,3,0.768,0,2,0,289,,,,,,,
,,3,0.206,0,2,0,290,,,,,-77,22:21:10,494
,,3,0.702,0,2,0,291,,,,,,,
,,3,0.612,0,2,0,292,,,,,,,
,,3,0.145,0,2,0,293,,,,,,,
,,3,0.232,0,2,0,294,,,,,,,
,,3,0.552,0,2,0,295,,,,,,,
,,3,0.285,0,2,0,296,,,,,,,
,,3,-0.485,0,2,0,297,,,,,,,
,,3,-0.112,0,2,0,298,,,,,,,
,,3,0.16,0,2,0,299,,,,,,,
52.3423397,4.9067262,3,-0.169,0,2,0,300,90,0,10,46,-77,22:21:10,697
,,3,-0.246,0,2,0,301,,,,,,,
,,3,0.112,0,2,0,302,,,,,,,
,,3,-0.258,0,2,0,303,,,,,,,
,,3,-0.507,0,2,0,304,,,,,,,
,,3,-0.099,0,2,0,305,,,,,,,
,,3,-0.48,0,2,0,306,,,,,,,
,,3,-0.517,0,2,0,307,,,,,,,
,,9,-0.749,0,3,267,308,,,,,,,
,,1,-0.992,0,3,-1,309,,,,,,,
52.3423386,4.906726,1,-0.35,0,3,-1,310,90,0,10,46,-77,22:21:10,893
,,1,-0.318,0,3,-1,311,,,,,,,
,,1,-0.45,0,3,-1,312,,,,,,,
,,1,-1.887,0,3,-1,313,,,,,,,
,,1,-1.091,0,3,-1,314,,,,,,,
,,1,-0.63,0,3,-1,315,,,,,,,
,,1,-0.854,0,3,-1,316,,,,,,,
,,1,-0.994,0,3,-1,317,,,,,,,
,,1,-1.037,0,3,-1,318,,,,,,,
,,1,-1.015,0,3,-1,319,,,,,,,
,,1,-0.903,0,3,-1,320,,,,,-77,22:21:11,101
,,1,-1.165,0,3,-1,321,,,,,,,
,,1,-0.626,0,3,-1,322,,,,,,,
,,1,-1.166,0,3,-1,323,,,,,,,
,,1,-0.927,0,3,-1,324,,,,,,,
,,1,-0.528,0,3,-1,325,,,,,,,
,,1,-1.143,0,3,-1,326,,,,,,,
,,1,-0.29,0,3,-1,327,,,,,,,
,,1,-1.019,0,3,-1,328,,,,,,,
,,1,-0.525,0,3,-1,329,,,,,,,
,,1,-0.843,0,3,-1,330,,,,,-77,22:21:11,314
,,1,-0.254,0,3,-1,331,,,,,,,
,,1,-0.999,0,3,-1,332,,,,,,,
,,1,-0.543,0,3,-1,333,,,,,,,
,,1,-0.548,0,3,-1,334,,,,,,,
,,1,0.111,0,3,-1,335,,,,,,,
,,1,-0.116,0,3,-1,336,,,,,,,
,,1,-0.038,0,3,-1,337,,,,,,,
,,1,-0.528,0,3,-1,338,,,,,,,
,,1,0.233,0,3,-1,339,,,,,,,
,,1,0.263,0,3,-1,340,,,,,-77,22:21:11,476
,,1,0.976,0,3,-1,341,,,,,,,
,,1,0.113,0,3,-1,342,,,,,,,
,,1,0.389,0,3,-1,343,,,,,,,
,,7,0.888,0,4,389,344,,,,,,,
,,1,1.006,0,4,-1,345,,,,,,,
,,1,0.713,0,4,-1,346,,,,,,,
,,1,0.765,0,4,-1,347,,,,,,,
,,1,0.608,0,4,-1,348,,,,,,,
,,1,1.153,0,4,-1,349,,,,,,,
,,1,0.822,0,4,-1,350,,,,,-77,22:21:11,685
,,1,0.567,0,4,-1,351,,,,,,,
,,1,0.864,0,4,-1,352,,,,,,,
,,1,0.825,0,4,-1,353,,,,,,,
,,1,0.651,0,4,-1,354,,,,,,,
,,1,0.739,0,4,-1,355,,,,,,,
,,1,1.132,0,4,-1,356,,,,,,,
,,1,1.254,0,4,-1,357,,,,,,,
,,1,0.788,0,4,-1,358,,,,,,,
,,1,0.502,0,4,-1,359,,,,,,,
52.3423332,4.9067397,1,0.865,0,4,-1,360,0,0,10,46,-77,22:21:11,881
,,1,1.315,0,4,-1,361,,,,,,,
,,1,0.771,0,4,-1,362,,,,,,,
,,1,0.886,0,4,-1,363,,,,,,,
,,1,0.663,0,4,-1,364,,,,,,,
,,1,0.663,0,4,-1,365,,,,,,,
,,1,0.39,0,4,-1,366,,,,,,,
,,1,0.492,0,4,-1,367,,,,,,,
,,1,0.605,0,4,-1,368,,,,,,,
,,1,0.001,0,4,-1,369,,,,,,,
52.3423332,4.9067397,1,-0.064,0,4,-1,370,0,0,10,46,-77,22:21:12,091
,,1,0.383,0,4,-1,371,,,,,,,
,,1,-0.548,0,4,-1,372,,,,,,,
,,1,-0.395,0,4,-1,373,,,,,,,
,,1,0.119,0,4,-1,374,,,,,,,
,,1,-0.538,0,4,-1,375,,,,,,,
,,1,-0.038,0,4,-1,376,,,,,,,
,,1,-0.772,0,4,-1,377,,,,,,,
,,7,-1.557,0,5,714,378,,,,,,,
,,1,0.177,0,5,-1,379,,,,,,,
,,1,-1.143,0,5,-1,380,,,,,-77,22:21:12,320
,,1,-1.157,0,5,-1,381,,,,,,,
,,1,-0.937,0,5,-1,382,,,,,,,
,,1,-0.587,0,5,-1,383,,,,,,,
,,1,-0.722,0,5,-1,384,,,,,,,
,,1,-1.126,0,5,-1,385,,,,,,,
,,1,-1.766,0,5,-1,386,,,,,,,
,,1,-0.794,0,5,-1,387,,,,,,,
,,1,-0.244,0,5,-1,388,,,,,,,
,,1,-0.868,0,5,-1,389,,,,,,,
,,1,-1.365,0,5,-1,390,,,,,-77,22:21:12,511
,,1,-0.942,0,5,-1,391,,,,,,,
,,1,-0.261,0,5,-1,392,,,,,,,
,,1,-1.045,0,5,-1,393,,,,,,,
,,1,-0.999,0,5,-1,394,,,,,,,
,,1,-0.744,0,5,-1,395,,,,,,,
,,1,-0.694,0,5,-1,396,,,,,,,
,,1,-0.034,0,5,-1,397,,,,,,,
,,1,-0.158,0,5,-1,398,,,,,,,
,,1,-0.282,0,5,-1,399,,,,,,,
,,1,-0.748,0,5,-1,400,,,,,-77,22:21:12,707
,,1,-0.276,0,5,-1,401,,,,,,,
,,1,-0.073,0,5,-1,402,,,,,,,
,,1,0.873,0,5,-1,403,,,,,,,
,,1,0.731,0,5,-1,404,,,,,,,
,,1,0.099,0,5,-1,405,,,,,,,
,,1,0.49,0,5,-1,406,,,,,,,
,,7,0.922,0,6,751,407,,,,,,,
,,1,0.885,0,6,-1,408,,,,,,,
