latitude,longitude,marker,Acc Y (g),Temp Data,HRot Count,Speed,Samples,Heading GPS (dg),Speed GPS,Accuracy GPS,Altitude GPS,RSSI dBm,HH:mm:ss,SSS
,,4,0.151,155,0,-2,0,,,,,,09:40:39,463
,,3,0.161,165,0,-1,1,,,,,,,
,,3,0.167,171,0,0,2,,,,,,,
,,3,0.171,175,0,0,3,,,,,,,
,,3,0.192,197,0,0,4,,,,,,,
,,3,0.206,211,0,0,5,,,,,,,
,,3,0.216,221,0,0,6,,,,,,,
,,3,0.196,201,0,0,7,,,,,,,
,,3,0.223,228,0,0,8,,,,,,,
,,3,0.224,229,0,0,9,,,,,,,
,,3,0.237,243,0,0,10,,,,,,09:40:39,662
,,3,0.257,263,0,0,11,,,,,,,
,,3,0.272,279,0,0,12,,,,,,,
,,3,0.269,275,0,0,13,,,,,,,
,,3,0.297,304,0,0,14,,,,,,,
,,3,0.313,320,0,0,15,,,,,,,
,,3,0.333,341,0,0,16,,,,,,,
,,3,0.35,358,0,0,17,,,,,,,
,,3,0.335,343,0,0,18,,,,,,,
,,3,0.343,351,0,0,19,,,,,,,
,,3,0.363,372,0,0,20,,,,,,09:40:39,871
,,3,0.384,393,0,0,21,,,,,,,
,,3,0.409,419,0,0,22,,,,,,,
,,3,0.431,441,0,0,23,,,,,,,
,,3,0.437,447,0,0,24,,,,,,,
,,3,0.467,478,0,0,25,,,,,,,
,,3,0.483,495,0,0,26,,,,,,,
,,3,0.484,496,0,0,27,,,,,,,
,,3,0.496,508,0,0,28,,,,,,,
,,3,0.498,510,0,0,29,,,,,,,
,,3,0.554,567,0,0,30,,,,,-65,09:40:40,023
,,3,0.634,649,0,0,31,,,,,,,
,,3,0.599,613,0,0,32,,,,,,,
,,3,0.587,601,0,0,33,,,,,,,
,,3,0.617,632,0,0,34,,,,,,,
,,3,0.64,655,0,0,35,,,,,,,
,,3,0.675,691,0,0,36,,,,,,,
,,3,0.686,702,0,0,37,,,,,,,
,,3,0.647,663,0,0,38,,,,,,,
,,3,0.706,723,0,0,39,,,,,,,
,,3,0.741,759,0,0,40,,,,,-65,09:40:40,311
,,3,0.74,758,0,0,41,,,,,,,
,,3,0.755,773,0,0,42,,,,,,,
,,3,0.739,757,0,0,43,,,,,,,
,,3,0.796,815,0,0,44,,,,,,,
,,3,0.849,869,0,0,45,,,,,,,
,,3,0.877,898,0,0,46,,,,,,,
,,3,0.839,859,0,0,47,,,,,,,
,,3,0.86,881,0,0,48,,,,,,,
,,3,0.836,856,0,0,49,,,,,,,
52.3548832,4.8056294,3,0.893,914,0,0,50,182,2,11,47,-65,09:40:40,460
,,3,0.91,932,0,0,51,,,,,,,
,,3,0.88,901,0,0,52,,,,,,,
,,3,0.839,859,0,0,53,,,,,,,
,,3,0.922,944,0,0,54,,,,,,,
,,3,0.988,1012,0,0,55,,,,,,,
,,3,0.993,1017,0,0,56,,,,,,,
,,3,0.904,926,0,0,57,,,,,,,
,,3,0.979,1002,0,0,58,,,,,,,
,,3,0.99,1014,0,0,59,,,,,,,
52.3548832,4.8056294,3,0.99,1014,0,0,60,182,2,11,47,-65,09:40:40,626
,,3,1.071,1097,0,0,61,,,,,,,
,,3,1.035,1060,0,0,62,,,,,,,
,,3,0.971,994,0,0,63,,,,,,,
,,3,0.977,1000,0,0,64,,,,,,,
,,3,1.021,1046,0,0,65,,,,,,,
,,3,1.081,1107,0,0,66,,,,,,,
,,3,0.985,1009,0,0,67,,,,,,,
,,3,0.896,917,0,0,68,,,,,,,
,,3,0.912,934,0,0,69,,,,,,,
,,3,1.055,1080,0,0,70,,,,,-65,09:40:40,822
,,3,1.061,1086,0,0,71,,,,,,,
,,3,0.965,988,0,0,72,,,,,,,
,,3,0.901,923,0,0,73,,,,,,,
,,3,0.883,904,0,0,74,,,,,,,
,,3,0.938,960,0,0,75,,,,,,,
,,3,0.976,999,0,0,76,,,,,,,
,,3,0.983,1007,0,0,77,,,,,,,
,,3,0.933,955,0,0,78,,,,,,,
,,3,0.821,841,0,0,79,,,,,,,
,,3,0.84,860,0,0,80,,,,,-65,09:40:41,032
,,3,0.845,865,0,0,81,,,,,,,
,,3,0.897,919,0,0,82,,,,,,,
,,3,0.816,836,0,0,83,,,,,,,
,,3,0.737,755,0,0,84,,,,,,,
,,3,0.687,703,0,0,85,,,,,,,
,,3,0.664,680,0,0,86,,,,,,,
,,3,0.731,749,0,0,87,,,,,,,
,,3,0.7,717,0,0,88,,,,,,,
,,3,0.66,676,0,0,89,,,,,,,
,,3,0.551,564,0,0,90,,,,,-65,09:40:41,224
,,3,0.557,570,0,0,91,,,,,,,
,,3,0.54,553,0,0,92,,,,,,,
,,3,0.51,522,0,0,93,,,,,,,
,,3,0.449,460,0,0,94,,,,,,,
,,3,0.418,428,0,0,95,,,,,,,
,,3,0.299,306,0,0,96,,,,,,,
,,3,0.399,409,0,0,97,,,,,,,
,,3,0.389,398,0,0,98,,,,,,,
